is_primary_school,is_middle_school,distance_to_subway_station,distance_to_bus_station,distance_to_parking_lot,distance_to_coach_station
1,0,0.67,0.08,0.08,3.96
0,1,0.84,0.25,0.08,4.05
0,1,0.84,0.25,0.08,4.05
1,0,0.42,0.25,0.08,3.54
1,0,0.00,0.08,0.08,3.54
1,0,0.93,0.17,0.08,2.45
1,0,0.67,0.25,0.00,2.19
1,0,0.76,0.17,0.08,2.95
0,1,0.93,0.17,0.08,2.78
0,1,0.84,0.17,0.08,2.87
0,1,0.59,0.17,0.08,0.76
1,0,0.67,0.17,0.08,0.76
1,0,0.42,0.17,0.08,0.59
1,0,0.59,0.08,0.00,0.59
1,0,0.34,0.25,0.08,0.25
0,1,0.42,0.17,0.00,0.34
1,0,0.59,0.25,0.08,0.84
1,0,0.59,0.17,0.08,0.84
0,1,0.59,0.08,0.00,0.84
0,1,0.51,0.17,0.00,0.51
0,1,0.51,0.17,0.00,0.51
0,1,0.59,0.08,0.00,0.84
1,0,0.59,0.17,0.17,0.84
0,1,0.76,0.17,0.08,0.84
1,0,0.67,0.08,0.08,0.84
0,1,0.51,0.08,0.08,0.76
0,1,0.76,0.17,0.08,0.84
0,1,0.67,0.08,0.00,0.93
0,1,0.67,0.08,0.08,0.93
0,1,0.67,0.08,0.00,0.93
